"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"1","Anthropology",201901,"College of Arts & Sciences",40,0.49,50.95,2038
"2","Anthropology",201902,"College of Arts & Sciences",35,0.48,68.8857142857143,2411
"3","Architecture",201901,"College of Design",87,0.4,26.7816091954023,2330
"4","Architecture",201902,"College of Design",94,0.3,26.6808510638298,2508
"5","Art",201901,"College of Design",86,0.49,29.046511627907,2498
"6","Art",201902,"College of Design",95,0.49,23.8421052631579,2265
"7","Art History",201901,"College of Design",19,0.49,33.2631578947368,632
"8","Art History",201902,"College of Design",22,0.49,37.4090909090909,823
"9","Asian Studies",201901,"College of Arts & Sciences",5,0.4,10.6,53
"10","Asian Studies",201902,"College of Arts & Sciences",4,0.4,10,40
"11","Biology",201901,"College of Arts & Sciences",119,0.45,20.4789915966387,2437
"12","Biology",201902,"College of Arts & Sciences",114,0.45,14.9649122807018,1706
"13","Business Administration",201901,"Lundquist College of Business",199,0.49,72.9949748743719,14526
"14","Business Administration",201902,"Lundquist College of Business",211,0.49,77.6919431279621,16393
"15","Chemistry",201901,"College of Arts & Sciences",96,0.49,35.625,3420
"16","Chemistry",201902,"College of Arts & Sciences",86,0.46,33.906976744186,2916
"17","Classics",201901,"College of Arts & Sciences",19,0.49,35.1052631578947,667
"18","Classics",201902,"College of Arts & Sciences",13,0.49,28.3846153846154,369
"19","Comparative Literature",201901,"College of Arts & Sciences",15,0.49,59.7333333333333,896
"20","Comparative Literature",201902,"College of Arts & Sciences",18,0.49,42.0555555555556,757
"21","Computer & Information Science",201901,"College of Arts & Sciences",49,0.45,26.6326530612245,1305
"22","Computer & Information Science",201902,"College of Arts & Sciences",43,0.49,13.2790697674419,571
"23","Counseling Psychology & Human Services",201901,"College of Education",80,0.49,33.25,2660
"24","Counseling Psychology & Human Services",201902,"College of Education",74,0.49,35.7432432432432,2645
"25","Creative Writing",201901,"College of Arts & Sciences",20,0.49,26.2,524
