"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_subject","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2014-15","2015",201401,"Fall",13664,"L","I","Latin","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",24,0.533333333,6,"2014","300 level course","Classics"
"2017-18","2018",201701,"Spring",36926,"L","I","Portuguese","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2018","300 level course","Romance Languages"
"2013-14","2015",201304,"Summer",45972,"L","D","Oregon Institute of Marine Biology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",112,2.488888889,14,"2014","400 level course","Biology"
"2017-18","2018",201701,"Winter",26984,"L","I","Folklore","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",16,0.355555556,4,"2018","400 level course","Folklore"
"2017-18","2018",201701,"Fall",15743,"L","I","Swedish","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Upper Division",4,0.088888889,1,"2017","200 level course","German Languages & Literature"
"2015-16","2016",201503,"Spring",35326,"S","I","Romance Languages","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2016","400 level course","Romance Languages"
"2017-18","2018",201703,"Fall",11941,"L","I","East Asian Languages & Literature","Regular","Graduate","Graduate","1","1","1","500","Doctoral",4,0.148148148,1,"2017","500 level course","E Asian Languages & Literature"
"2015-16","2016",201501,"Fall",17015,"S","I","Romance Languages","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",12,0.266666667,3,"2015","400 level course","Romance Languages"
"2019-20","2020",201901,"Winter",23471,"L","I","Latin","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",15,0.333333333,3,"2020","100 level course","Classics"
"2019-20","2020",201901,"Winter",23470,"L","I","Latin","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",10,0.222222222,2,"2020","100 level course","Classics"
"2013-14","2014",201302,"Spring",33562,"L","D","Oregon Institute of Marine Biology","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Upper Division",1,0.0222222,1,"2014","100 level course","Biology"
"2017-18","2018",201702,"Fall",11128,"N","D","Oregon Institute of Marine Biology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,1,"2017","400 level course","Biology"
"2014-15","2015",201402,"Spring",32312,"I","I","Folklore","Regular","Graduate","Graduate","1","1","1","600/700","Masters",5,0.138888889,2,"2015","600 level course","Folklore"
"2016-17","2017",201603,"Winter",27377,"I","I","Folklore","Regular","Graduate","Graduate","1","1","1","600/700","Masters",10,0.277777778,1,"2017","600 level course","Folklore"
"2017-18","2018",201702,"Spring",33228,"L","I","Latin","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2018","400 level course","Classics"
"2015-16","2016",201503,"Fall",15774,"L","I","Swedish","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",5,0.111111111,1,"2015","100 level course","German Languages & Literature"
"2016-17","2017",201603,"Fall",15446,"L","I","Scandinavian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",36,0.8,9,"2016","200 level course","German Languages & Literature"
"2017-18","2018",201703,"Fall",15749,"L","I","Swedish","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",15,0.333333333,3,"2017","100 level course","German Languages & Literature"
"2014-15","2015",201401,"Spring",35325,"S","I","Romance Languages","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"2015","400 level course","Romance Languages"
"2014-15","2015",201402,"Fall",17255,"L","I","Swedish","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Upper Division",4,0.088888889,1,"2014","200 level course","German Languages & Literature"
"2013-14","2015",201304,"Summer",47460,"L","I","Folklore","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2014","400 level course","Folklore"
"2017-18","2018",201703,"Winter",21852,"L","D","Oregon Institute of Marine Biology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",36,0.8,7,"2018","400 level course","Biology"
"2015-16","2016",201502,"Fall",11176,"S","I","CAS College Scholars Program","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",8,0.177777778,4,"2015","400 level course","Freshman Honors Colloquium"
"2018-19","2019",201803,"Winter",26402,"L","I","Swahili","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",5,0.111111111,1,"2019","100 level course","International Studies"
"2017-18","2018",201703,"Winter",22517,"S","I","Folklore","Regular","Graduate","Graduate","0","0","0","600/700","Doctoral",4,0.148148148,1,"2018","600 level course","Folklore"
"2015-16","2016",201501,"Fall",15771,"L","I","Swahili","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",5,0.138888889,1,"2015","200 level course","International Studies"
"2019-20","2020",201902,"Winter",23472,"L","I","Latin","Regular","Graduate","Graduate","1","1","1","500","Masters",8,0.222222222,2,"2020","500 level course","Classics"
"2019-20","2020",201901,"Winter",26230,"L","I","Romance Languages","Regular","Graduate","Graduate","1","1","1","600/700","Masters",22,0.611111111,7,"2020","600 level course","Romance Languages"
"2018-19","2019",201803,"Winter",26950,"L","I","Folklore","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",24,0.533333333,6,"2019","200 level course","Folklore"
"2015-16","2016",201501,"Fall",15083,"L","I","Portuguese","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",10,0.222222222,2,"2015","100 level course","Romance Languages"
"2014-15","2015",201401,"Fall",16165,"L","I","Scandinavian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",10,0.222222222,10,"2014","100 level course","German Languages & Literature"
"2019-20","2020",201901,"Winter",22477,"L","I","Folklore","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",44,0.977777778,11,"2020","200 level course","Folklore"
"2015-16","2016",201502,"Spring",36236,"I","I","Scandinavian","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"2016","400 level course","German Languages & Literature"
"2014-15","2015",201401,"Fall",15489,"I","I","Scandinavian","Regular","Graduate","Graduate","0","1","1","600/700","Masters",1,0.0277778,1,"2014","600 level course","German Languages & Literature"
"2016-17","2017",201601,"Winter",21333,"N","D","Oregon Institute of Marine Biology","Regular","Graduate","Graduate","1","1","1","600/700","Masters",5,0.138888889,1,"2017","600 level course","Biology"
"2017-18","2018",201702,"Fall",15753,"L","I","Swedish","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",25,0.555555556,5,"2017","100 level course","German Languages & Literature"
"2015-16","2016",201501,"Fall",16454,"L","I","East Asian Languages & Literature","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,3,"2015","400 level course","E Asian Languages & Literature"
"2019-20","2020",201901,"Fall",16223,"L","I","Folklore","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",20,0.444444444,5,"2019","400 level course","Folklore"
"2019-20","2020",201902,"Fall",11106,"L","D","Oregon Institute of Marine Biology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",70,1.6,14,"2019","400 level course","Biology"
"2015-16","2016",201503,"Spring",31110,"S","D","Oregon Institute of Marine Biology","Regular","Graduate","Graduate","1","1","1","600/700","Masters",6,0.166666667,3,"2016","600 level course","Biology"
"2014-15","2015",201403,"Spring",36203,"L","I","Portuguese","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",5,0.111111111,1,"2015","100 level course","Romance Languages"
"2015-16","2016",201501,"Spring",36630,"L","I","Folklore","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2016","200 level course","Folklore"
"2014-15","2015",201403,"Spring",31147,"S","I","CAS College Scholars Program","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Lower Division",2,0.0444444,1,"2015","400 level course","Freshman Honors Colloquium"
"2014-15","2015",201402,"Spring",35675,"L","I","Swahili","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",20,0.444444444,4,"2015","100 level course","International Studies"
"2016-17","2017",201601,"Winter",22501,"E","I","Folklore","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,2,"2017","400 level course","Folklore"
"2014-15","2015",201401,"Fall",15863,"L","I","Swahili","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Doctoral",10,0.37037037,2,"2014","100 level course","International Studies"
