"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_subject","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2014-15","2016",201404,"Summer",40850,"L","I","Environmental Studies","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",24,0.533333333,6,"2015","200 level course","Environmental Studies"
"2017-18","2018",201701,"Spring",31597,"L","I","Comparative Literature","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2018","200 level course","Comparative Literature"
"2018-19","2019",201803,"Winter",26824,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2019","400 level course","Theatre Arts"
"2014-15","2015",201402,"Fall",13221,"E","I","Italian","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,2,"2014","600 level course","Romance Languages"
"2017-18","2018",201703,"Fall",13129,"L","I","Italian","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",5,0.138888889,1,"2017","100 level course","Romance Languages"
"2017-18","2018",201701,"Fall",15897,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",40,0.888888889,10,"2017","100 level course","English"
"2017-18","2018",201702,"Winter",26593,"L","I","Women's & Gender Studies","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",24,0.533333333,6,"2018","300 level course","Women's, Gender And Sexuality Studies"
"2015-16","2016",201501,"Spring",35785,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",24,0.533333333,6,"2016","100 level course","English"
"2017-18","2018",201702,"Winter",27421,"L","I","Women's & Gender Studies","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",24,0.533333333,6,"2018","100 level course","Women's, Gender And Sexuality Studies"
"2013-14","2014",201303,"Spring",34027,"L","I","Chinese","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",36,0.8,9,"2014","300 level course","E Asian Languages & Literature"
"2015-16","2017",201504,"Summer",41115,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",8,0.177777778,2,"2016","200 level course","Romance Languages"
"2019-20","2020",201901,"Fall",16073,"L","I","Linguistics","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",1,0.0222222,1,"2019","100 level course","Linguistics"
"2018-19","2019",201801,"Winter",26417,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"2019","300 level course","Theatre Arts"
"2015-16","2016",201502,"Spring",35672,"A","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",8,0.177777778,2,"2016","200 level course","Theatre Arts"
"2018-19","2019",201801,"Spring",35621,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",20,0.444444444,5,"2019","100 level course","English"
"2015-16","2016",201502,"Winter",26806,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",16,0.355555556,4,"2016","100 level course","English"
"2016-17","2017",201602,"Winter",21808,"L","I","Comparative Literature","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Upper Division",4,0.088888889,1,"2017","200 level course","Comparative Literature"
"2015-16","2016",201502,"Spring",31439,"L","I","Chinese","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2016","300 level course","E Asian Languages & Literature"
"2015-16","2017",201504,"Summer",41267,"N","I","Linguistics","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",8,0.296296296,2,"2016","600 level course","Linguistics"
"2013-14","2014",201302,"Spring",38358,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",20,0.444444444,5,"2014","300 level course","English"
"2019-20","2020",201902,"Winter",22302,"L","I","Environmental Studies","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2020","400 level course","Environmental Studies"
"2016-17","2017",201603,"Spring",35718,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",4,0.088888889,1,"2017","100 level course","English"
"2017-18","2019",201704,"Summer",42074,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",40,0.888888889,10,"2018","300 level course","English"
"2014-15","2015",201403,"Spring",31367,"L","I","Chinese","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Upper Division",16,0.355555556,4,"2015","100 level course","E Asian Languages & Literature"
"2016-17","2017",201603,"Spring",36831,"L","I","Chinese","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2017","100 level course","E Asian Languages & Literature"
"2014-15","2015",201401,"Winter",23021,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",65,1.444444444,13,"2015","100 level course","Romance Languages"
"2014-15","2015",201403,"Spring",36033,"S","I","Italian","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",5,0.111111111,1,"2015","400 level course","Romance Languages"
"2015-16","2016",201503,"Winter",25971,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",36,0.8,9,"2016","100 level course","English"
"2019-20","2020",201902,"Fall",15841,"L","I","Theater Arts","Regular","Graduate","Graduate","1","1","1","500","Masters",4,0.111111111,1,"2019","500 level course","Theatre Arts"
"2017-18","2018",201702,"Winter",27418,"L","I","Environmental Studies","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,8,"2018","400 level course","Environmental Studies"
"2013-14","2014",201303,"Winter",22701,"L","I","Chinese","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",5,0.138888889,1,"2014","100 level course","E Asian Languages & Literature"
"2016-17","2018",201604,"Summer",40605,"L","I","Chinese","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",5,0.111111111,1,"2017","100 level course","E Asian Languages & Literature"
"2016-17","2017",201601,"Winter",26879,"S","I","Linguistics","Regular","Graduate","Graduate","1","1","1","500","Doctoral",12,0.444444444,3,"2017","500 level course","Linguistics"
"2014-15","2015",201401,"Spring",33041,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",5,0.111111111,1,"2015","100 level course","Romance Languages"
"2014-15","2015",201401,"Winter",26255,"L","I","Human Physiology","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",8,0.177777778,2,"2015","300 level course","Human Physiology"
"2018-19","2019",201802,"Fall",13009,"E","I","Human Physiology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",12,0.266666667,11,"2018","400 level course","Human Physiology"
"2016-17","2017",201601,"Fall",13121,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",8,0.177777778,2,"2016","300 level course","Romance Languages"
"2018-19","2019",201802,"Fall",13145,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",5,0.111111111,1,"2018","100 level course","Romance Languages"
"2018-19","2020",201804,"Summer",41065,"U","V","Environmental Studies","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",2,0.0555556,1,"2019","300 level course","Environmental Studies"
"2014-15","2015",201401,"Spring",35826,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",28,0.622222222,7,"2015","100 level course","English"
"2019-20","2020",201901,"Winter",23083,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",35,0.777777778,7,"2020","100 level course","Romance Languages"
"2015-16","2016",201502,"Winter",27246,"L","I","Italian","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",12,0.266666667,3,"2016","300 level course","Romance Languages"
"2014-15","2016",201404,"Summer",41046,"L","I","Human Physiology","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",33,0.733333333,8,"2015","200 level course","Human Physiology"
"2018-19","2019",201801,"Winter",22317,"L","I","Comparative Literature","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",24,0.533333333,6,"2019","200 level course","Comparative Literature"
"2016-17","2017",201601,"Spring",35594,"A","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",8,0.177777778,2,"2017","200 level course","Theatre Arts"
"2019-20","2020",201901,"Winter",21679,"L","I","Chinese","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Lower Division",5,0.111111111,1,"2020","300 level course","E Asian Languages & Literature"
"2017-18","2018",201701,"Winter",27463,"S","I","International Studies","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,8,"2018","400 level course","International Studies"
"2019-20","2020",201901,"Fall",13113,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",5,0.111111111,1,"2019","100 level course","Romance Languages"
"2016-17","2018",201604,"Summer",41120,"I","I","International Studies","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,2,"2017","400 level course","International Studies"
"2017-18","2018",201701,"Fall",15925,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",8,0.177777778,2,"2017","100 level course","English"
"2014-15","2016",201404,"Summer",42248,"S","I","International Studies","Regular","Graduate","Graduate","0","0","0","500","Doctoral",4,0.148148148,1,"2015","500 level course","International Studies"
"2015-16","2016",201502,"Fall",13159,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",40,0.888888889,8,"2015","100 level course","Romance Languages"
"2014-15","2015",201402,"Winter",21431,"L","I","Chinese","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Lower Division",4,0.088888889,1,"2015","300 level course","E Asian Languages & Literature"
"2019-20","2020",201902,"Fall",11469,"L","I","Chinese","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",112,2.488888889,37,"2019","100 level course","E Asian Languages & Literature"
"2015-16","2016",201503,"Winter",26814,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",28,0.622222222,7,"2016","100 level course","English"
"2017-18","2018",201702,"Fall",15900,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Upper Division",8,0.177777778,2,"2017","100 level course","English"
"2014-15","2016",201404,"Summer",41082,"L","I","International Studies","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",8,0.222222222,2,"2015","300 level course","International Studies"
"2014-15","2015",201403,"Spring",31408,"I","I","Chinese","Regular","Graduate","Graduate","0","1","1","600/700","Masters",3,0.083333333,1,"2015","600 level course","E Asian Languages & Literature"
"2016-17","2017",201602,"Fall",13079,"L","I","International Studies","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Lower Division",16,0.355555556,4,"2016","300 level course","International Studies"
"2018-19","2019",201802,"Spring",36195,"S","I","Environmental Studies","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,8,"2019","400 level course","Environmental Studies"
"2015-16","2016",201501,"Spring",36497,"S","I","Chinese","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,1,"2016","600 level course","E Asian Languages & Literature"
"2019-20","2020",201902,"Fall",16493,"L","I","Comparative Literature","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",8,0.177777778,2,"2019","300 level course","Comparative Literature"
"2014-15","2015",201402,"Fall",12318,"N","I","Environmental Studies","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",22,0.851851852,4,"2014","600 level course","Environmental Studies"
"2014-15","2015",201403,"Spring",37276,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",40,0.888888889,10,"2015","100 level course","English"
"2018-19","2019",201801,"Winter",22201,"L","I","Chinese","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",5,0.111111111,1,"2019","200 level course","E Asian Languages & Literature"
"2018-19","2019",201802,"Spring",33216,"L","I","Linguistics","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",27,0.6,6,"2019","400 level course","Linguistics"
"2014-15","2016",201404,"Summer",41318,"U","V","Linguistics","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Upper Division",4,0.088888889,1,"2015","100 level course","Linguistics"
"2013-14","2014",201303,"Winter",24298,"L","I","Italian","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",20,0.444444444,5,"2014","400 level course","Romance Languages"
"2019-20","2020",201902,"Winter",25931,"L","I","Writing","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2020","300 level course","English"
"2015-16","2016",201501,"Fall",11445,"L","I","Chinese","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",20,0.444444444,4,"2015","100 level course","E Asian Languages & Literature"
"2015-16","2016",201501,"Winter",23582,"L","I","Linguistics","Regular","Graduate","Graduate","1","1","1","500","Doctoral",4,0.148148148,1,"2016","500 level course","Linguistics"
"2016-17","2017",201601,"Spring",33323,"U","V","Linguistics","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",44,0.977777778,11,"2017","100 level course","Linguistics"
"2016-17","2017",201602,"Spring",32922,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",4,0.088888889,1,"2017","200 level course","Romance Languages"
"2013-14","2014",201302,"Spring",34052,"N","I","Chinese","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",42,1.555555556,4,"2014","600 level course","E Asian Languages & Literature"
"2014-15","2015",201401,"Winter",25895,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",44,0.977777778,11,"2015","100 level course","English"
"2013-14","2014",201303,"Spring",38228,"L","I","Women's & Gender Studies","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",64,1.422222222,16,"2014","100 level course","Women's, Gender And Sexuality Studies"
"2018-19","2019",201803,"Spring",32837,"L","I","Italian","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",4,0.088888889,1,"2019","200 level course","Romance Languages"
"2017-18","2018",201702,"Spring",36547,"L","I","Linguistics","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",16,0.355555556,4,"2018","200 level course","Linguistics"
"2017-18","2018",201701,"Winter",24140,"L","I","Linguistics","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",5,0.111111111,1,"2018","100 level course","Linguistics"
"2017-18","2018",201702,"Winter",23550,"L","I","International Studies","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",28,0.622222222,7,"2018","300 level course","International Studies"
"2015-16","2016",201503,"Spring",36793,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",12,0.266666667,3,"2016","400 level course","Theatre Arts"
"2018-19","2019",201801,"Winter",26450,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",8,0.177777778,2,"2019","400 level course","Theatre Arts"
"2018-19","2019",201803,"Winter",26480,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",8,0.177777778,2,"2019","400 level course","Theatre Arts"
"2013-14","2014",201303,"Winter",26930,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2014","400 level course","Theatre Arts"
"2016-17","2017",201603,"Winter",23121,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",70,1.555555556,14,"2017","100 level course","Romance Languages"
"2016-17","2017",201602,"Fall",16479,"L","I","Comparative Literature","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",56,1.244444444,14,"2016","300 level course","Comparative Literature"
"2014-15","2015",201402,"Fall",17307,"L","I","Italian","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",5,0.111111111,1,"2014","100 level course","Romance Languages"
"2015-16","2016",201501,"Fall",11470,"L","I","Chinese","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"2015","400 level course","E Asian Languages & Literature"
"2013-14","2014",201303,"Spring",35364,"L","I","Human Physiology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",15,0.333333333,4,"2014","400 level course","Human Physiology"
"2017-18","2018",201703,"Fall",15745,"E","I","Theater Arts","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",1,0.0222222,1,"2017","100 level course","Theatre Arts"
"2016-17","2017",201602,"Winter",25897,"L","I","Theater Arts","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",40,0.888888889,10,"2017","400 level course","Theatre Arts"
"2016-17","2017",201602,"Winter",27286,"E","I","Human Physiology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,6,"2017","400 level course","Human Physiology"
"2016-17","2017",201601,"Fall",16621,"S","I","Linguistics","Regular","Graduate","Graduate","1","1","1","500","Doctoral",12,0.444444444,4,"2016","500 level course","Linguistics"
"2015-16","2016",201503,"Winter",25914,"L","I","Writing","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",4,0.088888889,1,"2016","100 level course","English"
